,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
21,Maryland,5959902,3408240,57.2,1765926,29.6,15946,0.3,1849,0.0,274,0.0,406,0.0,195,0.0,362259,6.1,91149,1.5,82300,1.4,47526,0.8,7302,0.1,49159,0.8,27077,0.5,57746,1.0,2792,0.0,790,0.0,707,0.0,362,0.0,933,0.0,218586,3.7,186153,3.1,61501,1.0,18985,0.3,41619,0.7,11795,0.2,5959902,5959902,3557592,59.7,1868805,31.4,61490,1.0,424925,7.1,10233,0.2,242195,4.1,5959902,5959902,550146,9.2,96502,1.6,48870,0.8,13051,0.2,391723
22,Massachusetts,6742143,5343665,79.3,489233,7.3,13931,0.2,935,0.0,229,0.0,206,0.0,144,0.0,411736,6.1,93441,1.4,153605,2.3,12772,0.2,10259,0.2,24687,0.4,46711,0.7,70261,1.0,2002,0.0,631,0.0,471,0.0,264,0.0,636,0.0,278562,4.1,203014,3.0,84659,1.3,20610,0.3,40477,0.6,4538,0.1,6742143,6742143,5522528,81.9,599429,8.9,47859,0.7,465476,6.9,9509,0.1,314493,4.7,6742143,6742143,731739,10.9,45175,0.7,304770,4.5,12825,0.2,368969
23,Michigan,9909600,7817827,78.9,1376446,13.9,52891,0.5,3336,0.0,21502,0.2,249,0.0,568,0.0,276769,2.8,95353,1.0,54701,0.6,24190,0.2,11663,0.1,25559,0.3,17271,0.2,48032,0.5,2492,0.0,1081,0.0,393,0.0,381,0.0,637,0.0,111377,1.1,271798,2.7,95860,1.0,62716,0.6,45316,0.5,13227,0.1,9909600,9909600,8060339,81.3,1510824,15.2,146067,1.5,336081,3.4,10076,0.1,139513,1.4,9909600,9909600,474381,4.8,349202,3.5,44219,0.4,11378,0.1,69582
24,Minnesota,5450868,4597525,84.3,310853,5.7,56904,1.0,599,0.0,35144,0.6,172,0.0,5728,0.1,246819,4.5,40846,0.7,29121,0.5,10250,0.2,3976,0.1,15977,0.3,27575,0.5,119074,2.2,1969,0.0,614,0.0,275,0.0,373,0.0,707,0.0,88296,1.6,148502,2.7,49360,0.9,34297,0.6,33172,0.6,3869,0.1,5450868,5450868,4733097,86.8,375691,6.9,103345,1.9,289804,5.3,7448,0.1,101105,1.9,5450868,5450868,276026,5.1,192523,3.5,13042,0.2,4059,0.1,66402
25,Mississippi,2989192,1764038,59.0,1121327,37.5,13072,0.4,732,0.0,71,0.0,196,0.0,25,0.0,28562,1.0,6047,0.2,5420,0.2,3914,0.1,1402,0.0,2012,0.1,6763,0.2,3004,0.1,492,0.0,147,0.0,112,0.0,73,0.0,160,0.0,26334,0.9,35367,1.2,14348,0.5,7199,0.2,4870,0.2,1698,0.1,2989192,2989192,1794926,60.0,1141232,38.2,23739,0.8,36036,1.2,2014,0.1,29429,1.0,2989192,2989192,86704,2.9,54311,1.8,9568,0.3,1766,0.1,21059
26,Missouri,6059651,5000875,82.5,701896,11.6,25641,0.4,8916,0.1,533,0.0,256,0.0,995,0.0,107953,1.8,25584,0.4,24735,0.4,12288,0.2,3011,0.0,9393,0.2,15960,0.3,16982,0.3,6479,0.1,1835,0.0,917,0.0,1261,0.0,2466,0.0,68766,1.1,148041,2.4,50736,0.8,39692,0.7,22911,0.4,5731,0.1,6059651,6059651,5134072,84.7,770500,12.7,78580,1.3,139411,2.3,13045,0.2,82245,1.4,6059651,6059651,237284,3.9,163235,2.7,14375,0.2,6412,0.1,53262
27,Montana,1023391,911907,89.1,4260,0.4,67222,6.6,559,0.1,3160,0.3,628,0.1,5283,0.5,7481,0.7,407,0.0,1887,0.2,1307,0.1,918,0.1,1435,0.1,435,0.0,1092,0.1,841,0.1,591,0.1,75,0.0,61,0.0,114,0.0,5158,0.5,26522,2.6,3760,0.4,14438,1.4,3525,0.3,432,0.0,1023391,1023391,936991,91.6,9498,0.9,83614,8.2,12642,1.2,2333,0.2,6719,0.7,1023391,1023391,34841,3.4,24414,2.4,2612,0.3,773,0.1,7042
28,Nebraska,1881259,1655708,88.0,88388,4.7,15739,0.8,569,0.0,139,0.0,241,0.0,4857,0.3,39794,2.1,7052,0.4,6378,0.3,2260,0.1,1506,0.1,2867,0.2,8717,0.5,11014,0.6,1305,0.1,423,0.0,311,0.0,134,0.0,437,0.0,36672,1.9,43653,2.3,15010,0.8,10395,0.6,7754,0.4,1357,0.1,1881259,1881259,1695681,90.1,107845,5.7,30002,1.6,49865,2.7,3408,0.2,41453,2.2,1881259,1881259,191802,10.2,145976,7.8,4414,0.2,4661,0.2,36751
29,Nevada,2839172,1933057,68.1,243552,8.6,31927,1.1,1236,0.0,634,0.0,1967,0.1,759,0.0,222612,7.8,11121,0.4,34847,1.2,116313,4.1,10079,0.4,13870,0.5,11435,0.4,24947,0.9,18334,0.6,6974,0.2,4131,0.1,4039,0.1,3190,0.1,260654,9.2,129036,4.5,25707,0.9,15884,0.6,32938,1.2,2704,0.1,2839172,2839172,2036906,71.7,286350,10.1,57287,2.0,280498,9.9,37102,1.3,284299,10.0,2839172,2839172,790497,27.8,603694,21.3,26271,0.9,26252,0.9,134280
30,New Hampshire,1327503,1243594,93.7,17483,1.3,2085,0.2,157,0.0,40,0.0,20,0.0,46,0.0,32094,2.4,9346,0.7,7240,0.5,2584,0.2,877,0.1,2389,0.2,2033,0.2,7625,0.6,229,0.0,86,0.0,84,0.0,36,0.0,23,0.0,7112,0.5,24906,1.9,6309,0.5,7104,0.5,6358,0.5,304,0.0,1327503,1327503,1266943,95.4,25705,1.9,10890,0.8,39774,3.0,1167,0.1,9756,0.7,1327503,1327503,43500,3.3,9642,0.7,12857,1.0,1778,0.1,19223
