Port Code,Street Address,City,State,Postal Code,Field
1412,No personnel on site.,Dublin,VA,24084,Atlanta
1401,101 E. Main Street,Norfolk,VA,23510,Atlanta
5401,22685 Holiday Park Drive,Sterling,VA,20598,Baltimore
1404,"5707 Huntsman Road, Suite 104",Richmond,VA,23250,Atlanta
3004,9901 Pacific Highway,Blaine,WA,98230,Seattle
2905,1450 Terminal Way,Longview,WA,98632,Portland
3019,33643 Hwy 97,Oroville,WA,98844,Seattle
3001,17801 Pacific Highway S,Seattle,WA,98158-1249,Seattle
3009,103 Cherry Street,Sumas,WA,98295,
3002,2202 Port of Tacoma Road,Tacoma,WA,98421,Seattle
1409,Yeager Airport,Charleston,WV,25311,Atlanta
3781,W6400 Challenger Dr. Ste. 100,Appleton,WI,54914,Chicago
3703,2077 Airport Drive,Green Bay,WI,54313,Chicago
3701,4915 S. Howell Avenue,Milwaukee,WI,53207,Chicago
3708,3239 North Green Bay Road,Racine,WI,53404,Chicago
3332,"8500 Airport Pkwy, Suite 217.",Casper,WY,82604,Portland
4901,Rafael Hernandez Airport,Aguadilla,PR,00604,San Juan
4904,U.S. Customhouse,Puerto Real,PR,00740,San Juan
4913,Ave. Baldorioty de Castro,Isla Verde,PR,00937,San Juan
4907,31 Gonzalez Clemente Ave.,Mayaguez,PR,00680,San Juan
4908,63 Calle Bonaire,Ponce,PR,00716,San Juan
4909,City View Plaza-Suite 3000,Guaynabo,PR,00968-8000,San Juan
3213,Rota International Airport,Rota,MP,96951,San Francisco
3211,Saipan International Airport,Saipan,MP,96950,San Francisco
3212,Tinian International Airport,Tinian,MP,96950,San Francisco
5101,5500 Veterans Drive,St. Thomas,VI,00801,San Juan
5102,Cruz Bay Creek Bulkhead,St. John,VI,00830,San Juan
5104,RR #2-9922,Kingshill,VI,00850,San Juan
3207,A.B. Won Pat Guam International Airport,Tamuning,GU,96913,San Francisco
