,State,Year,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
27,Nebraska,2010,1799125,1587857,88.3,77986,4.3,15651,0.9,415,0.0,271,0.0,162,0.0,4077,0.2,29624,1.6,5431,0.3,5522,0.3,2749,0.2,1711,0.1,2919,0.2,7705,0.4,3587,0.2,1209,0.1,243,0.0,300,0.0,129,0.0,537,0.0,49026,2.7,37772,2.1,9993,0.6,9501,0.5,5445,0.3,3394,0.2,1799125,1799125,1619984,90.0,94346,5.2,31456,1.7,37232,2.1,1982,0.1,54731,3.0,1799125,1799125,151971,8.4,120603,6.7,2770,0.2,1517,0.1,27081
28,Nevada,2010,2633331,1938033,73.6,207567,7.9,28403,1.1,1859,0.1,477,0.0,2253,0.1,435,0.0,183979,7.0,8637,0.3,30348,1.2,93120,3.5,11465,0.4,12164,0.5,9178,0.3,19067,0.7,15526,0.6,6915,0.3,3655,0.1,2121,0.1,2835,0.1,167382,6.4,92441,3.5,17440,0.7,14594,0.6,20742,0.8,2413,0.1,2633331,2633331,2014380,76.5,236189,9.0,49756,1.9,220324,8.4,28826,1.1,185727,7.1,2633331,2633331,673897,25.6,524959,19.9,20926,0.8,19232,0.7,108780
29,New Hampshire,2010,1313939,1241539,94.5,14186,1.1,2835,0.2,316,0.0,22,0.0,51,0.0,25,0.0,27754,2.1,8962,0.7,6558,0.5,1787,0.1,832,0.1,2093,0.2,2786,0.2,4736,0.4,287,0.0,64,0.0,96,0.0,2,0.0,125,0.0,9997,0.8,17341,1.3,4131,0.3,5896,0.4,3407,0.3,312,0.0,1313939,1313939,1257524,95.7,19845,1.5,9809,0.7,32239,2.5,766,0.1,12046,0.9,1313939,1313939,35338,2.7,7437,0.6,11234,0.9,1395,0.1,15272
30,New Jersey,2010,8721577,6074010,69.6,1176241,13.5,19683,0.2,1265,0.0,99,0.0,130,0.0,321,0.0,697788,8.0,279275,3.2,133583,1.5,112111,1.3,14734,0.2,87873,1.0,23676,0.3,46536,0.5,2303,0.0,374,0.0,914,0.0,149,0.0,866,0.0,576943,6.6,174609,2.0,51225,0.6,18899,0.2,31815,0.4,8178,0.1,8721577,8721577,6212399,71.2,1258955,14.4,55828,0.6,746162,8.6,6161,0.1,626259,7.2,8721577,8721577,1468176,16.8,202991,2.3,426298,4.9,84650,1.0,754237
31,New Mexico,2010,2013122,1433955,71.2,39935,2.0,188217,9.3,1494,0.1,480,0.0,110637,5.5,777,0.0,27463,1.4,3778,0.2,6060,0.3,4439,0.2,2619,0.1,2197,0.1,4840,0.2,3530,0.2,1088,0.1,469,0.0,392,0.0,143,0.0,84,0.0,261155,13.0,61309,3.0,6542,0.3,18824,0.9,5691,0.3,1552,0.1,2013122,2013122,1487829,73.9,51468,2.6,213560,10.6,35319,1.8,2585,0.1,286424,14.2,2013122,2013122,913902,45.4,526314,26.1,7477,0.4,3545,0.2,376566
32,New York,2010,19229752,12764402,66.4,2990591,15.6,66876,0.3,3716,0.0,463,0.0,311,0.0,485,0.0,1392380,7.2,341134,1.8,563695,2.9,110379,0.6,40796,0.2,136211,0.7,34805,0.2,165360,0.9,5334,0.0,2039,0.0,1085,0.0,737,0.0,1473,0.0,1607796,8.4,402373,2.1,112277,0.6,46209,0.2,60760,0.3,19262,0.1,19229752,19229752,13069889,68.0,3200210,16.6,155778,0.8,1491647,7.8,12513,0.1,1732144,9.0,19229752,19229752,3288880,17.1,422292,2.2,1104806,5.7,69775,0.4,1692007
33,North Carolina,2010,9271178,6453727,69.6,1980942,21.4,106026,1.1,13737,0.1,300,0.0,290,0.0,364,0.0,194993,2.1,52534,0.6,31529,0.3,18610,0.2,6604,0.1,19307,0.2,26286,0.3,40123,0.4,5170,0.1,1465,0.0,1968,0.0,370,0.0,1367,0.0,356243,3.8,174077,1.9,53031,0.6,35736,0.4,22568,0.2,16741,0.2,9271178,9271178,6596608,71.2,2071701,22.3,170234,1.8,227046,2.4,10006,0.1,384274,4.1,9271178,9271178,723408,7.8,458493,4.9,64314,0.7,15524,0.2,185077
34,North Dakota,2010,659858,597392,90.5,7034,1.1,34798,5.3,180,0.0,14328,2.2,148,0.0,10663,1.6,6132,0.9,984,0.1,1494,0.2,713,0.1,600,0.1,589,0.1,784,0.1,968,0.1,439,0.1,156,0.0,117,0.0,19,0.0,147,0.0,3712,0.6,10351,1.6,1932,0.3,5234,0.8,1572,0.2,207,0.0,659858,659858,607241,92.0,9444,1.4,40737,6.2,8065,1.2,775,0.1,4368,0.7,659858,659858,12878,2.0,9344,1.4,962,0.1,108,0.0,2464
35,Ohio,2010,11512431,9598726,83.4,1391240,12.1,22785,0.2,6430,0.1,1034,0.0,495,0.0,903,0.0,186464,1.6,60559,0.5,42458,0.4,17971,0.2,9777,0.1,15122,0.1,14611,0.1,25966,0.2,2162,0.0,830,0.0,876,0.0,60,0.0,396,0.0,98214,0.9,212840,1.8,89401,0.8,46811,0.4,26022,0.2,8368,0.1,11512431,11512431,9791918,85.1,1509112,13.1,90110,0.8,221132,1.9,5902,0.1,122607,1.1,11512431,11512431,333019,2.9,168623,1.5,87300,0.8,7196,0.1,69900
36,Oklahoma,2010,3675339,2720135,74.0,267179,7.3,259809,7.1,97859,2.7,369,0.0,956,0.0,989,0.0,61581,1.7,10348,0.3,8827,0.2,6164,0.2,2291,0.1,5652,0.2,16927,0.5,11372,0.3,3967,0.1,901,0.0,1128,0.0,273,0.0,1665,0.0,98772,2.7,263896,7.2,23595,0.6,187016,5.1,11385,0.3,14080,0.4,3675339,3675339,2962562,80.6,315521,8.6,471549,12.8,78419,2.1,7720,0.2,113763,3.1,3675339,3675339,302167,8.2,248661,6.8,10352,0.3,1960,0.1,41194
